aspect term	category	polarity	text
;class	 teaching	 negative	I'd rather work 8 hours than sit in her class for an hour and a half (feels like you're in class for a day).
;null	 teacher	 positive	Mehran is the best.
;anecdotes;comments	 teacher teacher	 positive positive	I did enjoy his anecdotes and his comments.
;lectures;null;expectations;exams	 teaching teacher exam exam	 positive positive negative negative	Nice guy, interesting lectures, BUT unrealistic expectations on exams.
;essays;expectations;tools	 exam exam exam	 positive positive positive	He has high expectations for the essays but gives you all the tools you need to do well.
;professor	 teacher	 positive	I am honored and proud to have had him as my professor!
;participation	 answering	 negative	Very harsh on participation.
;principles;exams	 exam exam	 negative negative	He only teaches the basic principles, and the exams are much more complicated.
;teaching style;material	 teaching teaching	 neutral neutral	I disliked him at first due to how he jumped straight into deep material on the first day of class, but afterwards I got used to his concept teaching style and was able to pull through.
;null	 teacher	 positive	Awesome guy.
;old exams	 exam	 neutral	Old exams are useful, but don't just limit your studying to those.
;math concepts	 teaching	 positive	That said, he does clearly explain math concepts.
;grading criteria	 grading	 negative	He does not explain clearly  his grading criteria but picking  ridiculously  on some detail that unnecessary.
;concepts;application;facts	 teaching teaching teaching	 positive positive positive	Teaches concepts and application over specific facts.
;null	 answering	 positive	He is more than willing to fully explain things that you may not understand.
;person;professor	 teacher teacher	 positive negative	Randy is an awesome person but no the best professor.
;null	 knowledge	 positive	he knows what he is talking about.
;brit lit	 teacher	 positive	I would recommend him to anyone need to take Brit Lit II.
;teacher	 teacher	 positive	He is a great teacher
;null	 approachable	 negative	I emailed her with a question about a paper and I am still waiting for a response almost 2 months later.
;professor	 teacher	 positive	Take this professor!
;class;null	 course teaching	 negative negative	this class is insanely difficult b/c he goes over things way to fast, and fails to explain them unless you constantly ask.
;null	 teaching	 negative	so unorganized that it's not even worth the A i'm probably going to get.
;null	 teacher	 neutral	Just ignore all his ridiculous yet hilarious comments about evolution and you should be fine.
;null	 teacher	 positive	He is understanding
;class	 course	 negative	This was the toughest class I have taken so far.
;null	 teacher	 negative	he is the WORST WORST.
;reading;writings;null	 exam exam attendance	 neutral neutral neutral	DO READING & WRITINGS & SHOW UP FOR CLASS OR YOU WILL NOT PASS!
;class	 teaching	 negative	He is not good at teaching a 100 level class.
;owls	 exam	 negative	Owls are poorly structured!
;exams	 exam	 positive	STUDY PAST EXAMS.
;lectures	 teaching	 positive	He is funny, his lectures are pretty interesting.
;exams;class	 exam course	 negative negative	The exams are really tough and if you know that you wont study for this class in advance dont take it.
;problems;test	 exam exam	 positive positive	All problems done in class are on the test.
;teacher;null	 teacher relevant	 positive positive	Good teacher, can be moody, but you will learn a lot
;null;philosophy	 teacher teaching	 positive negative	Nice lady but has no business teaching Philosophy.
;class	 teaching	 negative	Class is so boring i've might lost attention numerous times every class.
;labs	 teaching	 positive	The only good thing about this class are the labs are VERY easy.
;owls	 exam	 neutral	sooo just pretty much teach yourself using the owls.
;information	 relevant	 negative	I got an A in his class but I would never take him a again because the information he focuses on is wasteful.
;quizzes;nyt readings	 exam exam	 negative negative	The quizzes and NYT readings are stupid and pointless.
;essays	 grading	 negative	I was making 5's on my developmental essays and as soon as I got into this class I failed every one of his essay's.
;class	 teacher	 negative	WORST CLASS EVERRR.
;teacher	 teacher	 positive	great teacher.
;lectures	 teaching	 negative	He is a really nice person, but his lectures are not helpful at all.
;class	 teaching	 positive	this class is mostly a huge therapy session and has been great fun so far.
;null	 teacher	 negative	Molumby is the biggest stud at uic.
;courses;calc	 course course	 positive positive	The courses he teaches are the easiest calcs offered at UMass.
;example problems	 teaching	 negative	Extremely unclear, never gives example problems.
;professors;teaching	 teaching teaching	 positive positive	She needs to give a class on teaching to other professors in the world.
;final exam	 grading	 negative	I think about half the class dropped before the final exam because they weren't going to pass.
;class	 attendance	 positive	GO TO CLASS.
;professor	 teacher	 positive	She kind of reminds me of Kitty from That 70's Show, but she is still an amazing professor.
;class;memorization;applications	 teaching teaching teaching	 neutral neutral neutral	This class is not based on memorization, its all about applications.
;iclicker	 attendance	 neutral	He does iclicker so you have to show up.
;power points	 teaching	 negative	Power points are 175 pages per topic.
;stuff	 knowledge	 positive	His age does make it a little harder to understand but he knows his stuff and if you aren't retarded you will do fine.
;teacher	 teacher	 positive	He's a very outgoing teacher.
;professor	 teacher	 positive	Molumby is a great professor and  an awesome guy.
;null	 teacher	 positive	The best prof through whom I could learn online 
;null	 teacher	 positive	One of my fav profs of all time.
;anecdotes	 teaching	 positive	To all the people complaining about his use of anecdotes: Come on, it's a 101 class.
;class	 course	 positive	This class was an easy summer class.
;null	 approachable	 negative	This man is one of the more un-helpful, not caring teachers i've ever run into.
;null	 approachable	 positive	He does not have the best reputation, however he is willing to help you, just ask.
;tests	 exam	 negative	the tests, however...RIDICULOUS.
;test;quiz;true;false	 exam exam exam exam	 neutral neutral neutral neutral	Every single test and quiz is true or false.
;professor	 teacher	 neutral	He is an amazing professor if you like to work with diagrams.
